,match_id,home_team,away_team,prematch_url,refreshed_at,odds_1,odds_X,odds_2,1X2 Vig,1X2 timestamp,odds_1X,odds_X2,odds_12,DC Vig,DC timestamp,odds_gol,odds_nogol,G/NG timestamp,G/NG Vig,odds_under_2.5,odds_over_2.5,U/O 2.5 timestamp,U/O 2.5 Vig
39,28933516,Real Madrid,Shakhtar Donetsk,https://www.snai.it/sport/CALCIO/CHAMPIONS%20LEAGUE/REAL%20MADRID%20-%20SHAKHTAR%20DONETSK,2021-11-03 18:25:22.042261,1.19,6.75,15.0,5.22683027549998,2021-11-03 17:25:22,1.02,4.0,1.09,6.882472413576494,2021-11-02 18:25:55,1.9,1.81,2021-11-03 17:25:22,7.304582210242588,2.9,1.37,2021-11-03 17:25:22,6.955503512880564
40,28933436,Dortmund,Ajax,https://www.snai.it/sport/CALCIO/CHAMPIONS%20LEAGUE/DORTMUND%20-%20AJAX,2021-11-03 18:25:28.358990,2.75,3.6,2.4,5.489260143198099,2021-11-03 17:25:28,1.55,1.43,1.27,6.185366016230362,2021-11-03 17:25:28,1.4,2.65,2021-11-03 17:25:28,8.395061728395065,2.45,1.5,2021-11-03 17:25:28,6.9620253164556845
41,28933390,Leipzig,Psg,https://www.snai.it/sport/CALCIO/CHAMPIONS%20LEAGUE/LEIPZIG%20-%20PSG,2021-11-03 18:25:34.697203,2.6,3.65,2.55,4.829416969816154,2021-11-03 17:25:34,1.5,1.47,1.27,6.294232796265607,2021-11-03 17:25:34,1.43,2.65,2021-11-03 17:25:34,7.120098039215705,2.4,1.5,2021-11-03 17:25:34,7.692307692307685
42,28933438,Sporting Cp,Besiktas,https://www.snai.it/sport/CALCIO/CHAMPIONS%20LEAGUE/SPORTING%20CP%20-%20BESIKTAS,2021-11-03 18:26:01.759168,1.4,4.75,7.5,5.4950260540028495,2021-11-03 17:26:01,1.07,2.85,1.17,6.548933328094917,2021-11-03 17:26:01,1.77,1.95,2021-11-03 17:26:01,7.217741935483877,2.25,1.55,2021-11-03 17:26:01,8.223684210526322
43,28936190,Legia Varsavia,Napoli,https://www.snai.it/sport/CALCIO/EUROPA%20LEAGUE/LEGIA%20VARSAVIA%20-%20NAPOLI,2021-11-04 09:47:33.118402,7.25,5.0,1.38,5.888439469476071,2021-11-03 17:26:48,2.9,1.07,1.15,6.932255330247124,2021-11-03 17:26:48,1.77,1.92,2021-11-04 08:47:33,7.902439024390249,2.2,1.6,2021-11-03 17:26:48,7.368421052631582
44,28160052,Empoli,Genoa,https://www.snai.it/sport/CALCIO/SERIE%20A/EMPOLI%20-%20GENOA,2021-11-04 09:43:56.979191,2.1,3.6,3.35,4.985931344963418,2021-11-04 08:12:22,1.3,1.7,1.27,6.754152823920266,2021-10-31 17:33:13,1.48,2.5,2021-11-01 18:26:37,7.035175879396995,2.25,1.57,2021-11-02 18:23:25,7.526178010471209
45,28160062,Sampdoria,Bologna,https://www.snai.it/sport/CALCIO/SERIE%20A/SAMPDORIA%20-%20BOLOGNA,2021-11-04 09:44:28.199936,2.4,3.5,2.85,5.056513979773937,2021-11-04 08:12:54,1.4,1.55,1.3,6.044962531223977,2021-11-04 08:12:54,1.5,2.4,2021-11-01 18:27:08,7.692307692307685,2.15,1.65,2021-11-04 08:12:54,6.644736842105269
46,28160066,Udinese,Sassuolo,https://www.snai.it/sport/CALCIO/SERIE%20A/UDINESE%20-%20SASSUOLO,2021-11-04 09:44:34.755915,2.45,3.45,2.85,4.661620658949238,2021-11-04 08:13:01,1.4,1.55,1.3,6.044962531223977,2021-11-03 16:41:46,1.55,2.3,2021-10-31 08:42:40,7.402597402597404,2.05,1.7,2021-11-01 18:27:14,7.066666666666677
47,28160056,Lazio,Salernitana,https://www.snai.it/sport/CALCIO/SERIE%20A/LAZIO%20-%20SALERNITANA,2021-11-04 09:44:40.976247,1.3,5.75,9.25,4.875322441960451,2021-11-04 08:13:07,1.05,3.4,1.12,6.513911620294596,2021-11-03 07:06:41,1.87,1.83,2021-11-04 08:13:07,7.510810810810799,2.4,1.5,2021-11-01 18:27:21,7.692307692307685
48,28160060,Napoli,Verona,https://www.snai.it/sport/CALCIO/SERIE%20A/NAPOLI%20-%20VERONA,2021-11-04 09:44:47.289760,1.4,4.75,6.75,6.7998961847910815,2021-11-04 08:13:14,1.08,2.8,1.16,6.765894110142458,2021-11-02 18:24:16,1.7,2.0,2021-11-04 08:13:14,8.10810810810812,2.35,1.53,2021-11-04 08:13:14,7.33247422680413
49,27751268,Southampton,Aston Villa,https://www.snai.it/sport/CALCIO/PREMIER%20LEAGUE/SOUTHAMPTON%20-%20ASTON%20VILLA,2021-11-04 09:13:49.906446,2.05,3.55,3.5,5.232071435215323,2021-11-04 08:13:49,1.3,1.73,1.28,6.037797434474649,2021-11-04 08:13:49,1.6,2.2,2021-10-31 18:01:22,7.368421052631582,2.0,1.75,2021-11-03 07:14:20,6.666666666666664
50,27751258,Chelsea,Burnley,https://www.snai.it/sport/CALCIO/PREMIER%20LEAGUE/CHELSEA%20-%20BURNLEY,2021-11-04 09:14:09.328114,1.24,6.0,12.0,5.3435114503816745,2021-11-04 08:14:09,1.02,3.85,1.11,6.587161271657712,2021-11-04 08:14:09,2.3,1.57,2021-11-04 08:14:09,6.692506459948322,2.15,1.63,2021-11-03 11:03:26,7.288359788359784
51,27751260,Crystal Palace,Wolves,https://www.snai.it/sport/CALCIO/PREMIER%20LEAGUE/CRYSTAL%20PALACE%20-%20WOLVES,2021-11-04 09:14:15.712582,2.5,3.2,3.1,3.389170237631483,2021-11-04 08:14:15,1.35,1.5,1.33,7.376837761155541,2021-11-04 08:14:15,1.87,1.85,2021-11-03 07:14:46,7.002688172042987,1.6,2.2,2021-10-31 18:01:47,7.368421052631582
52,27751256,Brighton,Newcastle,https://www.snai.it/sport/CALCIO/PREMIER%20LEAGUE/BRIGHTON%20-%20NEWCASTLE,2021-11-04 09:14:21.998854,1.6,4.0,5.5,5.37634408602151,2021-11-04 08:14:21,1.13,2.25,1.23,6.647114136031891,2021-11-03 07:14:53,1.85,1.85,2021-11-04 08:14:21,7.499999999999985,1.85,1.85,2021-10-31 18:01:54,7.499999999999985
53,27751262,Everton,Tottenham,https://www.snai.it/sport/CALCIO/PREMIER%20LEAGUE/EVERTON%20-%20TOTTENHAM,2021-11-04 09:14:34.943925,3.05,3.25,2.5,3.433999025815886,2021-11-04 08:14:34,1.5,1.35,1.3,8.115183246073297,2021-11-04 08:14:34,1.7,2.0,2021-11-03 16:43:04,8.10810810810812,1.75,1.97,2021-11-02 08:28:39,7.325268817204296
54,27751264,Leeds,Leicester,https://www.snai.it/sport/CALCIO/PREMIER%20LEAGUE/LEEDS%20-%20LEICESTER,2021-11-04 09:14:41.379123,2.7,3.45,2.45,6.401107351584133,2021-11-04 08:14:41,1.5,1.43,1.3,6.331877729257646,2021-11-02 08:28:45,1.5,2.45,2021-11-03 07:15:12,6.9620253164556845,2.15,1.6,2021-11-03 07:15:12,8.266666666666662
55,27751270,West Ham,Liverpool,https://www.snai.it/sport/CALCIO/PREMIER%20LEAGUE/WEST%20HAM%20-%20LIVERPOOL,2021-11-04 09:14:48.040734,4.25,4.0,1.73,5.9557118874410415,2021-11-04 08:14:48,2.05,1.2,1.22,6.577431906614793,2021-11-04 08:14:48,1.43,2.6,2021-11-04 08:14:48,7.741935483870972,2.55,1.45,2021-11-04 08:14:48,7.562499999999999
56,27965408,Celta,Barcellona,https://www.snai.it/sport/CALCIO/LIGA/CELTA%20-%20BARCELLONA,2021-11-04 09:15:46.438032,3.35,3.55,2.1,5.337818629773535,2021-11-04 08:15:46,1.67,1.3,1.27,7.211294149321045,2021-11-04 08:15:46,1.57,2.3,2021-11-03 17:10:00,6.692506459948322,2.05,1.67,2021-11-04 08:15:46,7.970430107526886
57,27965416,Real Madrid,Vallecano,https://www.snai.it/sport/CALCIO/LIGA/REAL%20MADRID%20-%20VALLECANO,2021-11-04 09:15:59.209885,1.35,5.25,7.25,6.467576791808874,2021-11-04 08:15:59,1.07,3.0,1.14,6.764503554230695,2021-11-04 08:15:59,1.75,1.97,2021-11-04 08:15:59,7.325268817204296,2.4,1.5,2021-10-31 18:04:55,7.692307692307685
58,27965420,Villarreal,Getafe,https://www.snai.it/sport/CALCIO/LIGA/VILLARREAL%20-%20GETAFE,2021-11-04 09:16:06.346844,1.53,4.0,6.5,5.432069416379415,2021-11-04 08:16:06,1.09,2.45,1.22,6.771493568740784,2021-11-04 08:16:06,2.2,1.6,2021-11-04 08:16:06,7.368421052631582,1.65,2.1,2021-10-31 18:05:01,7.599999999999999
59,27965410,Maiorca,Elche,https://www.snai.it/sport/CALCIO/LIGA/MAIORCA%20-%20ELCHE,2021-11-04 09:16:19.480028,2.05,3.05,4.0,6.162648907231978,2021-11-04 08:16:19,1.22,1.7,1.35,6.918218085106378,2021-11-04 08:16:19,2.1,1.65,2021-11-03 17:10:36,7.599999999999999,1.45,2.45,2021-11-04 08:16:19,8.910256410256414
60,27965414,Osasuna,Sociedad,https://www.snai.it/sport/CALCIO/LIGA/OSASUNA%20-%20SOCIEDAD,2021-11-04 09:16:25.916620,3.15,3.3,2.4,3.582608695652175,2021-11-04 08:16:25,1.53,1.33,1.3,8.033513532305445,2021-11-04 08:16:25,1.82,1.9,2021-11-04 08:16:25,7.043010752688164,1.65,2.1,2021-11-03 07:19:49,7.599999999999999
61,27965406,Betis,Siviglia,https://www.snai.it/sport/CALCIO/LIGA/BETIS%20-%20SIVIGLIA,2021-11-04 09:16:32.169848,2.75,3.2,2.55,6.392741683178648,2021-11-04 08:16:32,1.48,1.4,1.32,6.870062653228008,2021-11-04 08:16:32,1.77,1.95,2021-10-31 18:05:26,7.217741935483877,1.7,2.0,2021-11-01 19:06:34,8.10810810810812
62,27883268,Bayern,Friburgo,https://www.snai.it/sport/CALCIO/BUNDESLIGA/BAYERN%20-%20FRIBURGO,2021-11-04 09:16:59.139305,1.19,7.5,12.0,5.392871339605143,2021-11-04 08:16:59,1.02,4.5,1.07,6.419343775008567,2021-11-04 08:16:59,1.67,2.05,2021-11-04 08:16:59,7.970430107526886,3.65,1.24,2021-11-04 08:16:59,7.443762781186089
63,27883282,Bochum,Hoffenheim,https://www.snai.it/sport/CALCIO/BUNDESLIGA/BOCHUM%20-%20HOFFENHEIM,2021-11-04 09:17:05.601992,3.65,3.75,1.95,5.074686583088833,2021-11-04 08:17:05,1.8,1.28,1.27,5.847223116030641,2021-11-03 07:21:25,1.5,2.35,2021-11-04 08:17:05,8.441558441558444,2.2,1.6,2021-11-03 07:21:25,7.368421052631582
64,27883274,Stoccarda,Bielefeld,https://www.snai.it/sport/CALCIO/BUNDESLIGA/STOCCARDA%20-%20BIELEFELD,2021-11-04 09:17:11.686082,1.83,3.65,4.25,5.277448739551875,2021-11-04 08:17:11,1.21,1.93,1.27,6.190602710695699,2021-11-04 08:17:11,1.6,2.15,2021-11-04 08:17:11,8.266666666666662,2.0,1.73,2021-11-03 07:21:32,7.238605898123319
